ASIN,AMAZON_RATING_1,AMAZON_RATING_2,AMAZON_RATING_3,AMAZON_RATING_4,AMAZON_RATING_5,AMAZON_RATING_AVG
['B0081TXJ28'],20,9,8,15,48,3.62
['B0081TYO72'],10,5,4,16,65,4.21
['B0083U94D8'],1,3,0,15,81,4.720000000000001
['B00847UWUE'],14,5,7,17,57,3.9800000000000004
['B00847UWUE'],14,5,7,17,57,3.9800000000000004
['B0084DFLTA'],22,0,0,22,56,3.9000000000000004
['B0085IWXB8'],3,2,6,7,82,4.630000000000001
['B0085J4UXQ'],0,0,0,0,0,0.0
['B0087EVHN0'],0,0,0,17,83,4.83
['B0087NZ31S'],7,4,4,10,75,4.42
['B0088YPJ74'],42,8,25,25,0,2.33
['B008968L6M'],6,3,4,15,72,4.4399999999999995
['B0089JIDUI'],4,3,2,9,82,4.620000000000001
['B008ABOJKS'],13,7,5,14,61,4.03
['B008AT1W0A'],0,0,0,0,0,0.0
['B008AT1W0A'],0,0,0,0,0,0.0
['B008BVQJIC'],0,0,0,0,0,0.0
['B008C7C5WE'],17,0,4,11,68,4.130000000000001
['B008CP5QJK'],17,4,5,11,63,3.99
['B008CP5R8K'],5,1,3,9,82,4.620000000000001
['B008DJE7HW'],7,7,7,18,61,4.1899999999999995
['B008DWCRQW'],25,8,6,19,42,3.45
['B008E3M4QS'],6,1,2,7,84,4.62
['B008F65MO0'],1,1,0,21,77,4.72
['B008GS8LT0'],0,0,0,0,0,0.0
['B008HD3CTI'],1,0,4,15,80,4.73
['B008HD3E6Y'],2,0,2,4,92,4.840000000000001
['B008HO9DIG'],19,6,7,13,55,3.79
['B008HO9DK4'],13,5,5,13,64,4.1000000000000005
['B008HSIVVC'],28,15,12,13,32,3.06
['B008I21EA2'],33,8,8,13,38,3.15
['B008IFXQIW'],8,3,6,11,72,4.359999999999999
['B008JJLW4M'],6,2,3,13,76,4.51
['B008KXFEZK'],10,2,3,11,74,4.37
['B008LA5VS2'],11,0,11,11,67,4.23
['B008LA79M8'],9,0,9,27,55,4.1899999999999995
['B008M11WBA'],7,5,9,16,63,4.23
['B008MF4RJU'],17,5,6,12,60,3.9299999999999997
['B008OEHPPM'],12,13,17,21,37,3.58
['B008OUKZZI'],17,9,9,15,50,3.7199999999999998
['B008RECHLG'],0,0,0,0,100,5.0
['B008RJQ0LE'],6,8,11,28,47,4.0200000000000005
['B008S94HX6'],10,0,5,32,53,4.180000000000001
['B008TYIDVW'],3,3,0,7,87,4.72
['B008TYIEVQ'],3,0,0,0,97,4.88
['B008Y6SX5Q'],0,0,0,0,100,5.0
['B008Y6T9MM'],3,0,2,9,86,4.75
['B0090ECASW'],21,8,9,13,49,3.6100000000000003
['B0090YXSI8'],0,0,0,100,0,4.0
['B0090YXSI8'],0,0,0,100,0,4.0
['B00918MEZG'],8,2,4,12,74,4.42
['B0093H4XG8'],7,4,7,13,69,4.33
['B0093H8JCM'],0,0,0,4,96,4.96
['B0093H8NBY'],4,0,2,9,85,4.71
['B0095D1CM8'],26,13,11,10,40,3.25
['B0095VPBFY'],5,1,4,21,69,4.48
['B0096239G0'],11,9,7,15,58,4.0
['B0096S9562'],32,5,9,9,45,3.3
['B0098QV038'],14,9,7,17,53,3.8600000000000003
['B0098W4ZD4'],21,9,8,11,51,3.62
['B009AELU06'],6,0,18,19,57,4.210000000000001
['B009CP4PIW'],10,9,12,16,53,3.9300000000000006
['B009CP4PIW'],10,9,12,16,53,3.9300000000000006
['B009DYOPJ6'],4,4,10,20,62,4.32
['B009DYOPJ6'],4,4,10,20,62,4.32
['B009DYOPJQ'],9,6,8,15,62,4.15
['B009GG06F8'],8,4,3,10,75,4.4
['B009HNHNJ2'],0,0,13,0,87,4.739999999999999
['B009ISU33E'],7,5,8,16,64,4.25
['B009K7QB8O'],14,11,13,25,37,3.6
['B009K7U6IK'],10,14,21,15,40,3.61
['B009KY58FE'],14,8,9,16,53,3.8600000000000003
['B009LHF4FO'],1,3,4,25,67,4.54
['B009LL9VDG'],11,7,9,19,54,3.9800000000000004
['B009M0TFFU'],3,3,0,10,84,4.69
['B009NHAF06'],4,2,2,13,79,4.61
['B009O7YORK'],2,1,3,13,81,4.700000000000001
['B009O7YU3S'],3,5,3,10,79,4.57
['B009O7YU3S'],3,5,3,10,79,4.57
['B009O7YU56'],1,1,3,13,82,4.74
['B009PHSDBM'],19,14,12,16,39,3.4200000000000004
['B009RBN6I6'],6,1,0,8,85,4.65
['B009RS0X3A'],23,0,11,12,54,3.74
