asin,name,brand,category,price,review_count,info
B01M0GSOYC,Corsair Vengeance LED 16GB (2x8GB) DDR4 3200 (PC4-25600) C16 for Intel 100 - Blue LED PC Memory (CMU16GX4M2C3200C16B),Corsair,172500,$139.00,23,"B01M0GSOYC 4.2 out of 5 stars 6.4 ounces ( ) Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues. This item can be shipped to select countries outside of the U.S. September 15, 2016 16 GB DRAM 3200 MHz Corsair CMU16GX4M2C3200C16B 4.8 ounces 1.9 x 0.3 x 5.4 inches 1.9 x 0.3 x 5.4 inches Black DDR4 SDRAM 1.35 volts"
B0134EVVO2,Corsair Dominator Platinum Series 16GB (2 x 8GB) DDR4 DRAM 3000MHz C15 Desktop Memory Kit (CMD16GX4M2B3000C15),Corsair,172500,$129.99,57,"B0134EVVO2 4.7 out of 5 stars 7.8 ounces ( ) Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues. This item can be shipped to select countries outside of the U.S. August 8, 2015 16384 MB DDR 400 3000 MHz Corsair CMD16GX4M2B3000C15 7.8 ounces 6.5 x 0.7 x 6.3 inches 6.5 x 0.7 x 6.3 inches Black DDR4 SDRAM 1.35 volts"
B01BIWLFGQ,Crucial 8GB Single DDR4 2133 MT/s (PC4-17000) DIMM 288-Pin Memory - CT8G4DFS8213,Crucial,172500,$54.88,55,"B01BIWLFGQ 4.6 out of 5 stars 2.4 ounces ( ) Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues. This item can be shipped to select countries outside of the U.S. March 1, 2016 8 GB DRAM 2133 MHz Crucial CT8G4DFS8213 CT8G4DFS8213 5.1 ounces 7 x 0.4 x 5 inches 7 x 0.44 x 5 inches green DDR4 SDRAM 1.2 volts"
B0134EW44S,Corsair Vengeance LPX 32GB (2x16GB) DDR4 DRAM 2666MHz (PC4-21300) C16 Memory Kit - Black,Corsair,172500,$232.99,54,"B0134EW44S 4.6 out of 5 stars 4 ounces ( ) Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues. This item can be shipped to select countries outside of the U.S. July 6, 2015 32 GB DDR 400 2666 MHz Corsair CMK32GX4M2A2666C16 3.2 ounces 6.1 x 0.4 x 3.5 inches 6.1 x 0.4 x 3.5 inches 1 DDR4 SDRAM 1.2 volts"
B004PR6DAA,Apple Memory Module 8GB 1333MHz DDR3 (PC3-10600) - 2x4GB,Apple,172500,$53.98,344,"4.3 x 1.6 x 0.4 inches 0.6 ounces 0.6 ounces ( ) Lifetime Memory Products B004PR6DAA Made in USA or Imported MD019G/A 4.4 out of 5 stars March 24, 2011 None None"
B006EWUO22,Corsair Vengeance  16GB (2x8GB)  DDR3 1600 MHz (PC3 12800) Desktop Memory 1.5V,Corsair,172500,$115.99,1092,"B006EWUO22 4.7 out of 5 stars 5 ounces ( ) December 1, 2011 8 GB DDR3 1600 MHz Corsair CMZ16GX3M2A1600C10 N/A 1.1 ounces 7.1 x 6.5 x 5 inches 7.13 x 6.5 x 5 inches Black 1 DDR3 SDRAM 1.5 volts"
B018GK2G9S,Corsair Dominator Platinum Series 16GB (2 x 8GB) DDR4 DRAM 3200MHz (PC4-25600) C16 Memory Kit,Corsair,172500,$172.99,93,"B018GK2G9S 4.9 out of 5 stars 0.8 ounces ( ) Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues. This item can be shipped to select countries outside of the U.S. November 26, 2015 16 GB DDR3 1066 3200 MHz Corsair CMD16GX4M2B3200C16 0.8 ounces 2.2 x 0.6 x 5.3 inches 2.2 x 0.6 x 5.3 inches Black, platinum 1 DDR4 SDRAM 1.35 volts"
B01ARHBBPS,"Corsair Vengeance LPX 8GB DDR4 DRAM 2400MHz C16 Memory Kit, Black",Corsair,172500,$57.99,16,"B01ARHBBPS 4.4 out of 5 stars 0.3 ounces ( ) Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues. This item can be shipped to select countries outside of the U.S. January 21, 2016 8 GB DDR3 2200 2400 MHz Corsair CMK8GX4M1A2400C16 0.3 ounces 5.3 x 0.3 x 1.3 inches 5.32 x 0.28 x 1.32 inches Black DDR4 SDRAM 1.2 volts"
B008EMA5VU,Crucial 16GB Kit (8GBx2) DDR3/DDR3L-1600MT/s (PC3-12800) DR x8 ECC UDIMM Server Memory CT2KIT102472BD160B/CT2CP102472BD160B,Crucial,172500,$147.47,174,"B008EMA5VU 4.8 out of 5 stars 2.1 ounces ( ) September 23, 2012 16 GB DDR3 1600 MHz Crucial CT2KIT102472BD160B CT2KIT102472BD160B 1.6 ounces 9.7 x 5.7 x 0.6 inches 9.65 x 5.71 x 0.59 inches DDR3 SDRAM 1.35 volts"
B004QBUL1C,Corsair Vengeance Blue 8 GB (2X4 GB) PC3-12800 1600mHz DDR3 240-Pin SDRAM Dual Channel Memory Kit 1.5V,Corsair,172500,$62.99,699,"6 x 0.5 x 3 inches 1.6 ounces 5 ounces ( ) B004QBUL1C CMZ8GX3M2A1600C9B 4.6 out of 5 stars March 6, 2011 None None"
